Row ID,Order ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Customer ID,Order Priority,Order Date,Market,Returned,Shipping ID,Discounted,Profitable,Total Sales,Order Priority_N,Segment,Category,Sub-Category,Country,Region,Ship Mode_N,mmonthN,MquarterN
1,MX-2014-143658,OFF-LA-10002782,13.0799999237061,3,0.0,4.55999994277954,1.03299999237061,SC-20575,Medium,"Thursday, October 2, 2014",LATAM,0,44634,0,1,39.2399997711182,2,Consumer,Office Supplies,Labels,Mexico,North,3,10,4
2,MX-2012-155047,FUR-FU-10004015,252.160003662109,8,0.0,90.7200012207031,13.4490003585815,KW-16570,Medium,"Monday, October 15, 2012",LATAM,0,34096,0,1,2017.28002929688,2,Consumer,Furniture,Furnishings,Colombia,South,3,10,4
3,MX-2012-155047,FUR-BO-10002352,193.279998779297,2,0.0,54.0800018310547,9.6269998550415,KW-16570,Medium,"Monday, October 15, 2012",LATAM,0,34096,0,1,386.559997558594,2,Consumer,Furniture,Bookcases,Colombia,South,3,10,4
4,MX-2012-155047,OFF-BI-10004428,35.439998626709,4,0.0,4.96000003814697,1.37100005149841,KW-16570,Medium,"Monday, October 15, 2012",LATAM,0,34096,0,1,141.759994506836,2,Consumer,Office Supplies,Binders,Colombia,South,3,10,4
5,MX-2012-155047,OFF-AR-10004594,71.5999984741211,2,0.0,11.4399995803833,3.78699994087219,KW-16570,Medium,"Monday, October 15, 2012",LATAM,0,34096,0,1,143.199996948242,2,Consumer,Office Supplies,Art,Colombia,South,3,10,4
6,MX-2012-155047,OFF-EN-10001375,56.1199989318848,2,0.0,21.3199996948242,4.71799993515015,KW-16570,Medium,"Monday, October 15, 2012",LATAM,0,34096,0,1,112.23999786377,2,Consumer,Office Supplies,Envelopes,Colombia,South,3,10,4
7,MX-2013-134096,OFF-EN-10001375,56.1199989318848,2,0.0,21.3199996948242,4.10799980163574,DP-13000,Medium,"Friday, September 27, 2013",LATAM,0,30127,0,1,112.23999786377,2,Consumer,Office Supplies,Envelopes,Brazil,South,3,9,3
8,MX-2013-134096,TEC-MA-10004956,344.640014648438,3,0.0,165.419998168945,26.2019996643066,DP-13000,Medium,"Friday, September 27, 2013",LATAM,0,30127,0,1,1033.92004394531,2,Consumer,Technology,Machines,Brazil,South,3,9,3
9,MX-2013-134096,OFF-SU-10003474,97.3600006103516,4,0.0,19.4400005340576,6.86299991607666,DP-13000,Medium,"Friday, September 27, 2013",LATAM,0,30127,0,1,389.440002441406,2,Consumer,Office Supplies,Supplies,Brazil,South,3,9,3
10,MX-2013-134096,TEC-AC-10001830,341.519989013672,2,0.0,13.6400003433228,17.3409996032715,DP-13000,Medium,"Friday, September 27, 2013",LATAM,0,30127,0,1,683.039978027344,2,Consumer,Technology,Accessories,Brazil,South,3,9,3
